Technology,Weight
data quality,0.062260536398467424
javascript,-0.004789272030651341
aion,-0.2729885057471265
oo,-0.06513409961685822
beanshell,0.0
ebiexperts,0.0
xml,-0.046934865900383135
wincvs,-0.019406392694063933
os,-0.02681992337164751
basic,0.1896551724137931
power,0.046934865900383135
jcl,0.07950191570881228
data modeling,0.10865384615384616
jenkins,0.01532567049808429
oracle,-0.06513409961685822
pl,0.07375478927203065
html,-0.07758620689655173
dynamics,0.14080459770114942
db2,-0.06513409961685822
hp,-0.09961685823754787
soa,0.049808429118773936
business view,0.0
select,0.004789272030651341
apache,0.05651340996168582
cloud,0.02681992337164751
ftp,-0.08812260536398467
talend,0.09903846153846152
struts,-0.0210727969348659
data vault,0.0
data warehousing,0.0
asp,-0.06800766283524905
acorn,0.10057471264367816
marketing,0.05268199233716475
cognos,-0.06800766283524905
sql,-0.014367816091954025
idms,0.051923076923076926
business data,0.03160919540229885
vax,-0.004807692307692308
dataflux,0.0
kimball,0.01532567049808429
python,0.2270114942528736
ibm,-0.02298850574712644
metadata,0.06609195402298851
qgis,0.16475095785440613
jira,0.16666666666666666
prelytis,0.0
c++,0.04310344827586207
multi-dimensional,0.0
devops,0.08908045977011493
visual studio,0.02681992337164751
operations,0.005747126436781609
bpcs,0.029411764705882363
scala,-0.12739463601532566
spss,-0.0038314176245210726
tm1,-0.05
access,-0.027777777777777776
perl,-0.11015325670498084
rational,0.008620689655172414
exchange,-0.01532567049808429
microstrategy,-0.025961538461538463
crystal,-0.0210727969348659
linux,-0.05459770114942529
big data,0.12547892720306514
datastage,0.09961685823754787
contract,0.06609195402298851
eclipse,-0.005747126436781609
kanban,0.05363984674329502
postgresql,-0.011494252873563218
mysql,-0.06417624521072797
etl,0.025961538461538463
sap,0.012452107279693486
latex,-0.02969348659003832
websphere,-0.08557692307692308
jsp,-0.06992337164750957
windows,-0.1024904214559387
toad,-0.06513409961685822
php,-0.06992337164750957
java,-0.10153256704980844
voice,0.05076628352490421
dos,0.07854406130268199
lisp,0.0038314176245210726
salesforce,0.1906130268199233
chronogestor,0.0
citrix,-0.04885057471264368
powerpoint,0.027777777777777776
osa,0.0210727969348659
