|TrainingName|TotalCost
0|cognos - expert courses - reportnet fast track|5000
1|cognos - etl - decisionstream administration|3000
2|books struts in action|50,899999999999999
3|introduction to c# programming fot the ms.net plat|2850
4|dwh etl in depth|3000
5|sas base certification|247
6|sas base certification|247
7|pmi (project management institute) membership|115,40000000000001
8|projectmanagement-interpersoonlijke aspecten (pmwe)|1310
9|projectmanagement-technische aspecten (pmwt)|1310
10|negative balance training budget 2004|175,75
11|data warehouse etl in depht (amsterdam)|3000
12|negative balance training budget 2004 (1/2)|373,12
13|data warehouse concepts|600
14|microsoft developer and it pro days|549
15|hp technical update seminars|125
16|firmawagens,arbeidsrechtelijk en fiscaal doorgelicht|425
17|negative balance training budget 2004|1263,75
18|intensive language formation (fr) (tue&thu 18.30-20.30)|367,64999999999998
19|data warehouse concepts |600
20|data warehouse concepts |600
21|data warehouse concepts |600
22|data warehouse concepts|600
23|spin selling skills|2859
24|data warehouse concepts|600
25|oracle 9i: program with pl/sql self study cd course|202,65000000000001
26|oracle 9i: pl/sql fundamentals self study cd course|71
27|data warehouse concepts |600
28|oracle 9i warehouse builder|1574
29|data warehouse concepts|600
30|data warehouse concepts |600
31|data warehouse concepts |600
32|oracle 9i warehouse builder|1574
33|oracle 9i warehouse builder|1574
34|oracleas discoverer 10g: create queries and reports|1205,9000000000001
35|oracle discoverer administrator|1808,8499999999999
36|oracle 9i warehouse builder|1574
37|oracle 9i warehouse builder|1574
38|oracle 9i warehouse builder|1574
39|oracle 9i warehouse builder|1574
40|pmi membership 2005|116
41|programming a microsoft sql server 2000 database (moc#2073)|2450
42|oracle 9i warehouse builder|1574
43|oracle 9i warehouse builder|574
44|oracle 9i warehouse builderlilian hobbs, susan hillson, shilpa lawande isbn: 1555582877 |49,789999999999999
45|cbt oracle data warehousing fundamentals|0
46|dutch class|225
47|selfstudy etl studio|250
48|sugi entrance fee|1395
49|sugi entrance fee|1115,99
50|oracle 9i warehouse builder|1574
51|oracle 9i warehouse builder|1574
52|project management exam admission tentative |316,45999999999998
53|oracle 9i warehouse builder|1574
54|bo reporter|950
55|business objects reporter|950
56|ms project 2003/2002 (code g45 chez guidance à bruxelles : www.guidance.be)|1200
57|ms project 2003/2002 advanced tracking (code g46 chez www.guidance.be, cours à bruxelles)|1144
58|oracle 9i warehouse builder|1574
59|oracle warehouse builder |0
60|bo reporter|950
61|oracle warehouse builder|1574
62|bo - data integrator developer 6.1|3025
